"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"1400000US11001004201","Census Tract 42.01, District of Columbia, District of Columbia","3692","396","3161","368","211","125","0","12","111","75","0","12","120","140","89","92","0","12","89","92"
"1400000US11001004400","Census Tract 44, District of Columbia, District of Columbia","5742","533","3515","428","1460","473","0","17","343","130","0","17","253","321","171","92","0","17","171","92"
"1400000US11001006600","Census Tract 66, District of Columbia, District of Columbia","2061","208","1824","260","38","40","0","12","76","54","0","12","2","10","121","94","7","11","114","93"
"1400000US11001006700","Census Tract 67, District of Columbia, District of Columbia","4404","307","3558","301","533","70","0","12","181","78","17","26","25","30","90","55","12","18","78","51"
"1400000US11001007408","Census Tract 74.08, District of Columbia, District of Columbia","3423","429","70","48","3101","469","87","109","0","12","0","12","165","172","0","12","0","12","0","12"
"1400000US11001007502","Census Tract 75.02, District of Columbia, District of Columbia","5342","571","59","42","5263","564","0","17","0","17","0","17","0","17","20","23","0","17","20","23"
"1400000US11001007603","Census Tract 76.03, District of Columbia, District of Columbia","4530","492","333","160","3927","523","0","12","75","57","0","12","165","235","30","35","0","12","30","35"
"1400000US11001007406","Census Tract 74.06, District of Columbia, District of Columbia","3474","567","2","6","3120","607","0","12","0","12","11","18","275","268","66","77","0","12","66","77"
"1400000US11001007903","Census Tract 79.03, District of Columbia, District of Columbia","1968","252","500","92","1385","230","0","12","27","14","0","12","27","26","29","22","10","14","19","17"
"1400000US11001008904","Census Tract 89.04, District of Columbia, District of Columbia","4065","504","368","236","3293","542","0","12","39","33","0","12","245","207","120","133","30","47","90","126"
"1400000US11001009000","Census Tract 90, District of Columbia, District of Columbia","3680","284","414","145","3177","262","0","12","13","21","31","40","0","12","45","71","45","71","0","12"
"1400000US11001007200","Census Tract 72, District of Columbia, District of Columbia","5807","472","3968","285","1363","353","0","17","248","120","0","17","23","35","205","125","0","17","205","125"
"1400000US11001007401","Census Tract 74.01, District of Columbia, District of Columbia","1876","231","65","63","1732","235","0","12","27","26","0","12","52","60","0","12","0","12","0","12"
"1400000US11001007403","Census Tract 74.03, District of Columbia, District of Columbia","2790","388","48","63","2699","418","0","12","0","12","0","12","43","55","0","12","0","12","0","12"
"1400000US11001007604","Census Tract 76.04, District of Columbia, District of Columbia","4522","488","225","103","3985","558","36","51","17","21","0","12","105","116","154","119","30","49","124","109"
"1400000US11001007808","Census Tract 78.08, District of Columbia, District of Columbia","3939","683","11","17","3795","661","29","47","19","28","0","12","23","34","62","69","0","12","62","69"
"1400000US11001008302","Census Tract 83.02, District of Columbia, District of Columbia","2683","217","1970","170","436","139","2","4","140","66","0","12","13","15","122","68","0","12","122","68"
"1400000US11001009102","Census Tract 91.02, District of Columbia, District of Columbia","4888","518","572","166","4079","497","0","12","76","51","0","12","56","63","105","74","36","42","69","58"
"1400000US11001009503","Census Tract 95.03, District of Columbia, District of Columbia","3247","326","740","193","2427","276","0","12","32","40","0","12","6","14","42","52","8","18","34","48"
"1400000US11001009604","Census Tract 96.04, District of Columbia, District of Columbia","2343","257","105","57","2172","267","24","28","0","12","0","12","19","18","23","21","0","12","23","21"
"1400000US11001009700","Census Tract 97, District of Columbia, District of Columbia","3313","532","38","38","3267","536","0","12","0","12","0","12","8","13","0","12","0","12","0","12"
"1400000US11001009807","Census Tract 98.07, District of Columbia, District of Columbia","3617","508","134","115","3454","507","0","12","0","12","0","12","0","12","29","42","0","12","29","42"
"1400000US11001000502","Census Tract 5.02, District of Columbia, District of Columbia","3371","263","2985","259","106","64","26","40","121","61","11","17","56","40","66","42","0","12","66","42"
"1400000US11001001803","Census Tract 18.03, District of Columbia, District of Columbia","4328","480","305","116","2568","391","0","12","9","15","0","12","1352","453","94","71","20","35","74","63"
"1400000US11001001902","Census Tract 19.02, District of Columbia, District of Columbia","2605","246","611","253","1699","320","7","12","16","14","0","12","140","138","132","65","4","6","128","64"
"1400000US11001002701","Census Tract 27.01, District of Columbia, District of Columbia","6183","686","3247","523","1222","570","61","58","198","96","0","17","1156","646","299","187","52","76","247","168"
"1400000US11001002801","Census Tract 28.01, District of Columbia, District of Columbia","4151","441","1535","421","1439","274","0","12","127","81","0","12","881","390","169","100","118","90","51","39"
"1400000US11001005500","Census Tract 55, District of Columbia, District of Columbia","6901","608","5560","599","476","232","0","17","634","245","0","17","123","139","108","93","65","75","43","58"
