"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"1400000US11001010900","Census Tract 109, District of Columbia, District of Columbia","3819","583","41","35","3629","589","0","12","22","24","0","12","15","23","112","80","36","41","76","61"
"1400000US11001011000","Census Tract 110, District of Columbia, District of Columbia","4188","328","2627","380","1132","389","25","42","244","125","0","12","34","41","126","104","0","12","126","104"
"1400000US11001011100","Census Tract 111, District of Columbia, District of Columbia","5571","595","659","270","4569","615","10","21","80","85","0","17","8","13","245","163","14","21","231","158"
"1400000US11001010800","Census Tract 108, District of Columbia, District of Columbia","6356","625","4546","533","689","152","0","17","805","179","8","18","74","45","234","83","23","27","211","85"
"1400000US11001001702","Census Tract 17.02, District of Columbia, District of Columbia","3346","346","1605","284","1322","355","0","12","42","52","11","17","235","267","131","69","19","24","112","69"
"1400000US11001003000","Census Tract 30, District of Columbia, District of Columbia","3719","526","1956","421","1277","390","7","10","162","133","0","12","223","164","94","60","37","36","57","46"
"1400000US11001003301","Census Tract 33.01, District of Columbia, District of Columbia","4219","472","2020","401","1799","366","0","12","196","102","0","12","38","39","166","86","7","11","159","86"
"1400000US11001003600","Census Tract 36, District of Columbia, District of Columbia","4904","527","2508","344","1211","446","0","12","553","329","0","12","442","309","190","146","0","12","190","146"
"1400000US11001004202","Census Tract 42.02, District of Columbia, District of Columbia","2404","222","2022","214","21","18","8","14","151","81","0","12","96","85","106","52","18","27","88","46"
"1400000US11001000600","Census Tract 6, District of Columbia, District of Columbia","4969","338","4042","427","446","187","0","12","291","205","0","12","52","74","138","114","0","12","138","114"
"1400000US11001001402","Census Tract 14.02, District of Columbia, District of Columbia","3443","277","2542","300","302","88","0","12","303","119","16","26","150","100","130","73","0","12","130","73"
"1400000US11001002702","Census Tract 27.02, District of Columbia, District of Columbia","6263","595","3918","403","958","422","0","17","279","146","0","17","555","397","553","341","253","243","300","173"
"1400000US11001002002","Census Tract 20.02, District of Columbia, District of Columbia","4304","753","958","207","2436","511","13","22","101","70","0","12","717","440","79","42","18","29","61","46"
"1400000US11001002101","Census Tract 21.01, District of Columbia, District of Columbia","5050","673","528","190","3419","506","30","47","242","126","0","17","691","496","140","117","59","95","81","71"
