id,Geographic Area Name,Estimate!!VALUE!!Owner-occupied units!!Median (dollars),Margin of Error!!VALUE!!Owner-occupied units!!Median (dollars)
1400000US17031320100,"Census Tract 3201, Cook County, Illinois",527500,73296
1400000US17031320400,"Census Tract 3204, Cook County, Illinois",669100,96991
1400000US17031320600,"Census Tract 3206, Cook County, Illinois",403200,37752
1400000US17031330100,"Census Tract 3301, Cook County, Illinois",391800,22122
1400000US17031330200,"Census Tract 3302, Cook County, Illinois",480400,40612
1400000US17031340300,"Census Tract 3403, Cook County, Illinois",348000,23362
1400000US17031340400,"Census Tract 3404, Cook County, Illinois",211200,39701
1400000US17031340500,"Census Tract 3405, Cook County, Illinois",296400,45856
1400000US17031340600,"Census Tract 3406, Cook County, Illinois",-,**
1400000US17031350100,"Census Tract 3501, Cook County, Illinois",-,**
1400000US17031350400,"Census Tract 3504, Cook County, Illinois",-,**
1400000US17031351000,"Census Tract 3510, Cook County, Illinois",356900,145637
1400000US17031351100,"Census Tract 3511, Cook County, Illinois",-,**
1400000US17031351400,"Census Tract 3514, Cook County, Illinois",263600,153391
1400000US17031351500,"Census Tract 3515, Cook County, Illinois",275000,113908
1400000US17031360200,"Census Tract 3602, Cook County, Illinois",172500,22375
1400000US17031380100,"Census Tract 3801, Cook County, Illinois",309600,72133
1400000US17031380200,"Census Tract 3802, Cook County, Illinois",308900,180106
1400000US17031380500,"Census Tract 3805, Cook County, Illinois",-,**
1400000US17031380700,"Census Tract 3807, Cook County, Illinois",92000,41097
1400000US17031381200,"Census Tract 3812, Cook County, Illinois",302900,113137
1400000US17031381400,"Census Tract 3814, Cook County, Illinois",154300,73359
1400000US17031381500,"Census Tract 3815, Cook County, Illinois",187500,130382
1400000US17031381700,"Census Tract 3817, Cook County, Illinois",-,**
1400000US17031381800,"Census Tract 3818, Cook County, Illinois",200400,36330
1400000US17031381900,"Census Tract 3819, Cook County, Illinois",191900,24734
1400000US17031390100,"Census Tract 3901, Cook County, Illinois",373500,50564
1400000US17031390200,"Census Tract 3902, Cook County, Illinois",297500,44738
1400000US17031390300,"Census Tract 3903, Cook County, Illinois",262300,41773
1400000US17031390400,"Census Tract 3904, Cook County, Illinois",266400,76504
1400000US17031390500,"Census Tract 3905, Cook County, Illinois",533700,181818
1400000US17031390600,"Census Tract 3906, Cook County, Illinois",420200,60051
1400000US17031390700,"Census Tract 3907, Cook County, Illinois",152100,32975
1400000US17031400300,"Census Tract 4003, Cook County, Illinois",189300,88182
1400000US17031400400,"Census Tract 4004, Cook County, Illinois",-,**
1400000US17031400500,"Census Tract 4005, Cook County, Illinois",175400,123983
1400000US17031400800,"Census Tract 4008, Cook County, Illinois",179500,124292
1400000US17031410100,"Census Tract 4101, Cook County, Illinois",192100,25110
1400000US17031410200,"Census Tract 4102, Cook County, Illinois",331600,147087
1400000US17031410500,"Census Tract 4105, Cook County, Illinois",344500,45650
1400000US17031410600,"Census Tract 4106, Cook County, Illinois",337500,110337
1400000US17031410700,"Census Tract 4107, Cook County, Illinois",263500,23841
1400000US17031410800,"Census Tract 4108, Cook County, Illinois",163000,52039
1400000US17031410900,"Census Tract 4109, Cook County, Illinois",273600,28252
1400000US17031411000,"Census Tract 4110, Cook County, Illinois",149500,78033
1400000US17031411100,"Census Tract 4111, Cook County, Illinois",524400,82337
1400000US17031411200,"Census Tract 4112, Cook County, Illinois",522400,209022
1400000US17031420100,"Census Tract 4201, Cook County, Illinois",206300,123123
1400000US17031420200,"Census Tract 4202, Cook County, Illinois",138400,9126
1400000US17031420300,"Census Tract 4203, Cook County, Illinois",235000,104351
1400000US17031420400,"Census Tract 4204, Cook County, Illinois",166700,61479
1400000US17031420500,"Census Tract 4205, Cook County, Illinois",164700,24386
1400000US17031420600,"Census Tract 4206, Cook County, Illinois",206700,23690
1400000US17031420700,"Census Tract 4207, Cook County, Illinois",77700,51882
1400000US17031420800,"Census Tract 4208, Cook County, Illinois",182500,74951
1400000US17031421200,"Census Tract 4212, Cook County, Illinois",91100,19397
1400000US17031430101,"Census Tract 4301.01, Cook County, Illinois",144800,131824
1400000US17031430102,"Census Tract 4301.02, Cook County, Illinois",-,**
1400000US17031430200,"Census Tract 4302, Cook County, Illinois",439600,58172
1400000US17031430300,"Census Tract 4303, Cook County, Illinois",151200,26430
1400000US17031430400,"Census Tract 4304, Cook County, Illinois",88900,43744
1400000US17031430500,"Census Tract 4305, Cook County, Illinois",161600,25885
1400000US17031430600,"Census Tract 4306, Cook County, Illinois",240100,33555
1400000US17031430700,"Census Tract 4307, Cook County, Illinois",117000,37167
1400000US17031430800,"Census Tract 4308, Cook County, Illinois",208800,40492
1400000US17031430900,"Census Tract 4309, Cook County, Illinois",173700,62482
1400000US17031431200,"Census Tract 4312, Cook County, Illinois",170000,16771
1400000US17031431301,"Census Tract 4313.01, Cook County, Illinois",117700,19296
1400000US17031431302,"Census Tract 4313.02, Cook County, Illinois",234500,81876
1400000US17031431400,"Census Tract 4314, Cook County, Illinois",76000,36879
1400000US17031440101,"Census Tract 4401.01, Cook County, Illinois",153100,142231
1400000US17031440102,"Census Tract 4401.02, Cook County, Illinois",153300,48468
1400000US17031440201,"Census Tract 4402.01, Cook County, Illinois",168600,127439
1400000US17031440202,"Census Tract 4402.02, Cook County, Illinois",162900,14982
1400000US17031440300,"Census Tract 4403, Cook County, Illinois",172400,9956
1400000US17031440600,"Census Tract 4406, Cook County, Illinois",158500,13138
1400000US17031440700,"Census Tract 4407, Cook County, Illinois",155700,11612
1400000US17031440800,"Census Tract 4408, Cook County, Illinois",114200,31338
1400000US17031440900,"Census Tract 4409, Cook County, Illinois",118200,8429
1400000US17031450300,"Census Tract 4503, Cook County, Illinois",148800,18106
1400000US17031460100,"Census Tract 4601, Cook County, Illinois",88500,26400
1400000US17031460200,"Census Tract 4602, Cook County, Illinois",90700,25627
1400000US17031460301,"Census Tract 4603.01, Cook County, Illinois",123900,24695
1400000US17031460302,"Census Tract 4603.02, Cook County, Illinois",114400,18214
1400000US17031460400,"Census Tract 4604, Cook County, Illinois",148100,15551
1400000US17031460500,"Census Tract 4605, Cook County, Illinois",170500,16422
1400000US17031460600,"Census Tract 4606, Cook County, Illinois",106500,16624
1400000US17031460700,"Census Tract 4607, Cook County, Illinois",119100,57802
1400000US17031461000,"Census Tract 4610, Cook County, Illinois",106900,60935
1400000US17031470100,"Census Tract 4701, Cook County, Illinois",98300,6500
1400000US17031480100,"Census Tract 4801, Cook County, Illinois",149300,11195
1400000US17031480200,"Census Tract 4802, Cook County, Illinois",175000,28724
1400000US17031480300,"Census Tract 4803, Cook County, Illinois",155800,20063
1400000US17031480400,"Census Tract 4804, Cook County, Illinois",169900,6909
1400000US17031480500,"Census Tract 4805, Cook County, Illinois",140200,20124
1400000US17031490300,"Census Tract 4903, Cook County, Illinois",137900,14270
1400000US17031490400,"Census Tract 4904, Cook County, Illinois",161000,13637
1400000US17031490500,"Census Tract 4905, Cook County, Illinois",159700,9611
1400000US17031490600,"Census Tract 4906, Cook County, Illinois",115900,15597
1400000US17031490700,"Census Tract 4907, Cook County, Illinois",102300,24421
1400000US17031490800,"Census Tract 4908, Cook County, Illinois",133200,27760
1400000US17031490901,"Census Tract 4909.01, Cook County, Illinois",117600,22278
1400000US17031490902,"Census Tract 4909.02, Cook County, Illinois",146900,9114
1400000US17031491000,"Census Tract 4910, Cook County, Illinois",91900,13576
1400000US17031491100,"Census Tract 4911, Cook County, Illinois",123800,14342
1400000US17031491200,"Census Tract 4912, Cook County, Illinois",118700,15916
1400000US17031491300,"Census Tract 4913, Cook County, Illinois",81600,7979
1400000US17031491400,"Census Tract 4914, Cook County, Illinois",126200,28287
1400000US17031500100,"Census Tract 5001, Cook County, Illinois",132000,13954
1400000US17031500200,"Census Tract 5002, Cook County, Illinois",121000,11235
1400000US17031500300,"Census Tract 5003, Cook County, Illinois",129500,12645
1400000US17031510100,"Census Tract 5101, Cook County, Illinois",114000,12145
1400000US17031510200,"Census Tract 5102, Cook County, Illinois",111100,7370
1400000US17031510300,"Census Tract 5103, Cook County, Illinois",88900,6454
1400000US17031520100,"Census Tract 5201, Cook County, Illinois",125700,21120
1400000US17031520200,"Census Tract 5202, Cook County, Illinois",102800,24357
1400000US17031520300,"Census Tract 5203, Cook County, Illinois",124800,11038
1400000US17031520400,"Census Tract 5204, Cook County, Illinois",125500,11340
1400000US17031520500,"Census Tract 5205, Cook County, Illinois",131300,9553
1400000US17031520600,"Census Tract 5206, Cook County, Illinois",119500,11581
1400000US17031530100,"Census Tract 5301, Cook County, Illinois",86300,3747
1400000US17031530200,"Census Tract 5302, Cook County, Illinois",79900,15191
1400000US17031530300,"Census Tract 5303, Cook County, Illinois",112000,8727
1400000US17031530400,"Census Tract 5304, Cook County, Illinois",123200,13229
1400000US17031530501,"Census Tract 5305.01, Cook County, Illinois",121500,23345
1400000US17031530502,"Census Tract 5305.02, Cook County, Illinois",112600,5723
1400000US17031530503,"Census Tract 5305.03, Cook County, Illinois",113900,7472
1400000US17031530600,"Census Tract 5306, Cook County, Illinois",114400,9791
1400000US17031540101,"Census Tract 5401.01, Cook County, Illinois",53800,23718
1400000US17031540102,"Census Tract 5401.02, Cook County, Illinois",81500,32186
1400000US17031550100,"Census Tract 5501, Cook County, Illinois",142900,22585
1400000US17031550200,"Census Tract 5502, Cook County, Illinois",138700,11622
1400000US17031560100,"Census Tract 5601, Cook County, Illinois",161300,13649
1400000US17031560200,"Census Tract 5602, Cook County, Illinois",156500,16247
1400000US17031560300,"Census Tract 5603, Cook County, Illinois",185100,6338
1400000US17031560400,"Census Tract 5604, Cook County, Illinois",178400,9104
1400000US17031560700,"Census Tract 5607, Cook County, Illinois",214900,14307
1400000US17031560800,"Census Tract 5608, Cook County, Illinois",195300,11464
1400000US17031560900,"Census Tract 5609, Cook County, Illinois",244000,10743
1400000US17031561000,"Census Tract 5610, Cook County, Illinois",241300,13106
1400000US17031561100,"Census Tract 5611, Cook County, Illinois",214800,11371
1400000US17031570100,"Census Tract 5701, Cook County, Illinois",200800,25313
1400000US17031570200,"Census Tract 5702, Cook County, Illinois",188000,8902
1400000US17031570300,"Census Tract 5703, Cook County, Illinois",172800,11204
1400000US17031570400,"Census Tract 5704, Cook County, Illinois",174300,20719
1400000US17031570500,"Census Tract 5705, Cook County, Illinois",206000,17008
1400000US17031580100,"Census Tract 5801, Cook County, Illinois",236300,25162
1400000US17031580200,"Census Tract 5802, Cook County, Illinois",162600,16027
1400000US17031580300,"Census Tract 5803, Cook County, Illinois",168100,18442
1400000US17031580400,"Census Tract 5804, Cook County, Illinois",208300,23065
1400000US17031580501,"Census Tract 5805.01, Cook County, Illinois",149800,14904
1400000US17031580502,"Census Tract 5805.02, Cook County, Illinois",168200,15008
1400000US17031580600,"Census Tract 5806, Cook County, Illinois",179600,24539
1400000US17031580700,"Census Tract 5807, Cook County, Illinois",158500,12108
1400000US17031580800,"Census Tract 5808, Cook County, Illinois",162500,35655
1400000US17031590500,"Census Tract 5905, Cook County, Illinois",269200,26209
1400000US17031590600,"Census Tract 5906, Cook County, Illinois",175200,24595
1400000US17031590700,"Census Tract 5907, Cook County, Illinois",221500,24755
1400000US17031600400,"Census Tract 6004, Cook County, Illinois",331700,30428
1400000US17031600600,"Census Tract 6006, Cook County, Illinois",248500,73888
1400000US17031600700,"Census Tract 6007, Cook County, Illinois",286300,26599
1400000US17031600900,"Census Tract 6009, Cook County, Illinois",259600,29137
1400000US17031610300,"Census Tract 6103, Cook County, Illinois",171100,25365
1400000US17031610400,"Census Tract 6104, Cook County, Illinois",128100,39210
1400000US17031610800,"Census Tract 6108, Cook County, Illinois",196600,26954
1400000US17031611000,"Census Tract 6110, Cook County, Illinois",58000,26520
1400000US17031611100,"Census Tract 6111, Cook County, Illinois",105200,29734
1400000US17031611200,"Census Tract 6112, Cook County, Illinois",85400,16842
1400000US17031611300,"Census Tract 6113, Cook County, Illinois",88500,30910
1400000US17031611400,"Census Tract 6114, Cook County, Illinois",118300,13957
1400000US17031611500,"Census Tract 6115, Cook County, Illinois",106300,10829
1400000US17031611600,"Census Tract 6116, Cook County, Illinois",76600,31346
1400000US17031611700,"Census Tract 6117, Cook County, Illinois",110000,57344
1400000US17031611800,"Census Tract 6118, Cook County, Illinois",103800,46859
1400000US17031611900,"Census Tract 6119, Cook County, Illinois",144600,16042
1400000US17031612000,"Census Tract 6120, Cook County, Illinois",131500,32797
1400000US17031612100,"Census Tract 6121, Cook County, Illinois",106700,49627
1400000US17031620100,"Census Tract 6201, Cook County, Illinois",189300,29054
1400000US17031620200,"Census Tract 6202, Cook County, Illinois",167900,12267
1400000US17031620300,"Census Tract 6203, Cook County, Illinois",177100,13033
1400000US17031620400,"Census Tract 6204, Cook County, Illinois",179600,17704
1400000US17031630100,"Census Tract 6301, Cook County, Illinois",126800,41663
1400000US17031630200,"Census Tract 6302, Cook County, Illinois",153900,8763
1400000US17031630300,"Census Tract 6303, Cook County, Illinois",154200,21428
1400000US17031630400,"Census Tract 6304, Cook County, Illinois",142100,9083
1400000US17031630500,"Census Tract 6305, Cook County, Illinois",150800,55517
1400000US17031630800,"Census Tract 6308, Cook County, Illinois",142600,16605
1400000US17031630900,"Census Tract 6309, Cook County, Illinois",169400,11532
1400000US17031640100,"Census Tract 6401, Cook County, Illinois",188600,10688
1400000US17031640300,"Census Tract 6403, Cook County, Illinois",215500,10243
1400000US17031640400,"Census Tract 6404, Cook County, Illinois",206400,17838
1400000US17031640500,"Census Tract 6405, Cook County, Illinois",193200,11111
1400000US17031640600,"Census Tract 6406, Cook County, Illinois",206800,16482
1400000US17031640700,"Census Tract 6407, Cook County, Illinois",160500,7354
1400000US17031640800,"Census Tract 6408, Cook County, Illinois",197900,12942
1400000US17031650100,"Census Tract 6501, Cook County, Illinois",161400,11166
1400000US17031650200,"Census Tract 6502, Cook County, Illinois",168800,17454
1400000US17031650301,"Census Tract 6503.01, Cook County, Illinois",197600,17352
1400000US17031650302,"Census Tract 6503.02, Cook County, Illinois",155400,18421
1400000US17031650400,"Census Tract 6504, Cook County, Illinois",166200,7116
1400000US17031650500,"Census Tract 6505, Cook County, Illinois",167700,8130
1400000US17031660301,"Census Tract 6603.01, Cook County, Illinois",157000,8658
1400000US17031660302,"Census Tract 6603.02, Cook County, Illinois",123100,17243
1400000US17031660400,"Census Tract 6604, Cook County, Illinois",147400,14949
1400000US17031660500,"Census Tract 6605, Cook County, Illinois",169200,14267
1400000US17031660600,"Census Tract 6606, Cook County, Illinois",129900,18859
1400000US17031660700,"Census Tract 6607, Cook County, Illinois",96400,7660
1400000US17031660800,"Census Tract 6608, Cook County, Illinois",138900,23497
1400000US17031660900,"Census Tract 6609, Cook County, Illinois",133800,37617
1400000US17031661000,"Census Tract 6610, Cook County, Illinois",110000,8177
1400000US17031661100,"Census Tract 6611, Cook County, Illinois",146000,10379
1400000US17031670100,"Census Tract 6701, Cook County, Illinois",137100,26518
1400000US17031670200,"Census Tract 6702, Cook County, Illinois",85300,41353
1400000US17031670300,"Census Tract 6703, Cook County, Illinois",88000,29166
1400000US17031670400,"Census Tract 6704, Cook County, Illinois",122800,45045
1400000US17031670500,"Census Tract 6705, Cook County, Illinois",93000,8051
1400000US17031670600,"Census Tract 6706, Cook County, Illinois",76700,12780
1400000US17031670700,"Census Tract 6707, Cook County, Illinois",94200,13609
1400000US17031670800,"Census Tract 6708, Cook County, Illinois",123300,16409
1400000US17031670900,"Census Tract 6709, Cook County, Illinois",80400,9293
1400000US17031671100,"Census Tract 6711, Cook County, Illinois",66400,12355
1400000US17031671200,"Census Tract 6712, Cook County, Illinois",160900,39344
1400000US17031671300,"Census Tract 6713, Cook County, Illinois",78100,19868
1400000US17031671400,"Census Tract 6714, Cook County, Illinois",80800,21646
1400000US17031671500,"Census Tract 6715, Cook County, Illinois",72000,11214
1400000US17031671600,"Census Tract 6716, Cook County, Illinois",110300,15448
1400000US17031671800,"Census Tract 6718, Cook County, Illinois",90000,10310
1400000US17031671900,"Census Tract 6719, Cook County, Illinois",91400,6006
1400000US17031672000,"Census Tract 6720, Cook County, Illinois",107600,25073
1400000US17031680500,"Census Tract 6805, Cook County, Illinois",88100,39835
1400000US17031680600,"Census Tract 6806, Cook County, Illinois",104200,59936
1400000US17031680900,"Census Tract 6809, Cook County, Illinois",142600,45809
1400000US17031681000,"Census Tract 6810, Cook County, Illinois",116100,33058
1400000US17031681100,"Census Tract 6811, Cook County, Illinois",69300,34068
1400000US17031681200,"Census Tract 6812, Cook County, Illinois",131700,78798
1400000US17031681300,"Census Tract 6813, Cook County, Illinois",97100,39658
1400000US17031681400,"Census Tract 6814, Cook County, Illinois",87000,9881
1400000US17031690300,"Census Tract 6903, Cook County, Illinois",-,**
1400000US17031690400,"Census Tract 6904, Cook County, Illinois",166800,16402
1400000US17031690500,"Census Tract 6905, Cook County, Illinois",109400,23496
1400000US17031690900,"Census Tract 6909, Cook County, Illinois",178100,42098
1400000US17031691000,"Census Tract 6910, Cook County, Illinois",159200,14956
1400000US17031691100,"Census Tract 6911, Cook County, Illinois",146300,45919
1400000US17031691200,"Census Tract 6912, Cook County, Illinois",115500,90775
1400000US17031691300,"Census Tract 6913, Cook County, Illinois",150400,48050
1400000US17031691400,"Census Tract 6914, Cook County, Illinois",136800,30215
1400000US17031691500,"Census Tract 6915, Cook County, Illinois",111000,13350
1400000US17031700100,"Census Tract 7001, Cook County, Illinois",156100,8331
1400000US17031700200,"Census Tract 7002, Cook County, Illinois",155100,10002
1400000US17031700301,"Census Tract 7003.01, Cook County, Illinois",171400,8581
1400000US17031700302,"Census Tract 7003.02, Cook County, Illinois",213300,6201
1400000US17031700401,"Census Tract 7004.01, Cook County, Illinois",152100,12301
1400000US17031700402,"Census Tract 7004.02, Cook County, Illinois",164200,10942
1400000US17031700501,"Census Tract 7005.01, Cook County, Illinois",169400,7315
1400000US17031700502,"Census Tract 7005.02, Cook County, Illinois",180000,12273
1400000US17031710100,"Census Tract 7101, Cook County, Illinois",121600,16322
1400000US17031710200,"Census Tract 7102, Cook County, Illinois",120400,15921
1400000US17031710300,"Census Tract 7103, Cook County, Illinois",119900,39473
1400000US17031710400,"Census Tract 7104, Cook County, Illinois",128000,16409
1400000US17031710500,"Census Tract 7105, Cook County, Illinois",122800,11135
1400000US17031710600,"Census Tract 7106, Cook County, Illinois",115900,60298
1400000US17031710700,"Census Tract 7107, Cook County, Illinois",146400,25988
1400000US17031710800,"Census Tract 7108, Cook County, Illinois",144600,15713
1400000US17031710900,"Census Tract 7109, Cook County, Illinois",144400,12582
1400000US17031711000,"Census Tract 7110, Cook County, Illinois",137900,18232
1400000US17031711100,"Census Tract 7111, Cook County, Illinois",150100,22097
1400000US17031711200,"Census Tract 7112, Cook County, Illinois",151500,11030
1400000US17031711300,"Census Tract 7113, Cook County, Illinois",131000,14648
1400000US17031711400,"Census Tract 7114, Cook County, Illinois",132800,19186
1400000US17031711500,"Census Tract 7115, Cook County, Illinois",133700,13421
1400000US17031720100,"Census Tract 7201, Cook County, Illinois",380900,19707
1400000US17031720200,"Census Tract 7202, Cook County, Illinois",273100,30414
1400000US17031720300,"Census Tract 7203, Cook County, Illinois",350100,13723
1400000US17031720400,"Census Tract 7204, Cook County, Illinois",245400,14033
1400000US17031720500,"Census Tract 7205, Cook County, Illinois",273200,13992
1400000US17031720600,"Census Tract 7206, Cook County, Illinois",370600,20607
1400000US17031720700,"Census Tract 7207, Cook County, Illinois",252500,25776
1400000US17031730100,"Census Tract 7301, Cook County, Illinois",125900,15330
1400000US17031730201,"Census Tract 7302.01, Cook County, Illinois",153200,16814
1400000US17031730202,"Census Tract 7302.02, Cook County, Illinois",158600,8178
1400000US17031730300,"Census Tract 7303, Cook County, Illinois",155400,13752
1400000US17031730400,"Census Tract 7304, Cook County, Illinois",155900,16356
1400000US17031730500,"Census Tract 7305, Cook County, Illinois",124000,14261
1400000US17031730600,"Census Tract 7306, Cook County, Illinois",121600,24870
1400000US17031730700,"Census Tract 7307, Cook County, Illinois",130000,21753
1400000US17031740100,"Census Tract 7401, Cook County, Illinois",221600,9908
1400000US17031740200,"Census Tract 7402, Cook County, Illinois",258000,21228
1400000US17031740300,"Census Tract 7403, Cook County, Illinois",245300,10924
1400000US17031740400,"Census Tract 7404, Cook County, Illinois",246200,13343
1400000US17031750100,"Census Tract 7501, Cook County, Illinois",146000,11573
1400000US17031750200,"Census Tract 7502, Cook County, Illinois",269400,37413
1400000US17031750300,"Census Tract 7503, Cook County, Illinois",282700,13378
1400000US17031750400,"Census Tract 7504, Cook County, Illinois",233500,11943
1400000US17031750500,"Census Tract 7505, Cook County, Illinois",219400,35926
1400000US17031750600,"Census Tract 7506, Cook County, Illinois",123800,19091
1400000US17031760801,"Census Tract 7608.01, Cook County, Illinois",124400,38588
1400000US17031760802,"Census Tract 7608.02, Cook County, Illinois",314600,30515
1400000US17031760803,"Census Tract 7608.03, Cook County, Illinois",159300,23250
1400000US17031770201,"Census Tract 7702.01, Cook County, Illinois",265300,14041
1400000US17031770202,"Census Tract 7702.02, Cook County, Illinois",223200,33021
1400000US17031770300,"Census Tract 7703, Cook County, Illinois",227900,13487
1400000US17031770400,"Census Tract 7704, Cook County, Illinois",225700,7458
1400000US17031770500,"Census Tract 7705, Cook County, Illinois",26500,3062
1400000US17031770601,"Census Tract 7706.01, Cook County, Illinois",264600,13126
1400000US17031770602,"Census Tract 7706.02, Cook County, Illinois",274600,22789
1400000US17031770700,"Census Tract 7707, Cook County, Illinois",344100,24290
1400000US17031770800,"Census Tract 7708, Cook County, Illinois",183600,16836
1400000US17031770901,"Census Tract 7709.01, Cook County, Illinois",268500,10399
1400000US17031770902,"Census Tract 7709.02, Cook County, Illinois",276700,20556
1400000US17031800100,"Census Tract 8001, Cook County, Illinois",1528600,91047
1400000US17031800200,"Census Tract 8002, Cook County, Illinois",804100,57571
1400000US17031800300,"Census Tract 8003, Cook County, Illinois",1080800,107673
1400000US17031800400,"Census Tract 8004, Cook County, Illinois",1211800,139295
1400000US17031800500,"Census Tract 8005, Cook County, Illinois",978500,57885
1400000US17031800600,"Census Tract 8006, Cook County, Illinois",1165000,112516
1400000US17031800700,"Census Tract 8007, Cook County, Illinois",883300,56625
1400000US17031800800,"Census Tract 8008, Cook County, Illinois",441200,40204
1400000US17031800900,"Census Tract 8009, Cook County, Illinois",431300,30748
1400000US17031801000,"Census Tract 8010, Cook County, Illinois",605100,36328
1400000US17031801100,"Census Tract 8011, Cook County, Illinois",692500,34496
1400000US17031801200,"Census Tract 8012, Cook County, Illinois",881300,97015
1400000US17031801300,"Census Tract 8013, Cook County, Illinois",832400,67641
1400000US17031801400,"Census Tract 8014, Cook County, Illinois",488800,38609
1400000US17031801500,"Census Tract 8015, Cook County, Illinois",474900,32370
1400000US17031801601,"Census Tract 8016.01, Cook County, Illinois",553800,32527
1400000US17031801603,"Census Tract 8016.03, Cook County, Illinois",370900,49409
1400000US17031801605,"Census Tract 8016.05, Cook County, Illinois",537700,28948
1400000US17031801606,"Census Tract 8016.06, Cook County, Illinois",497000,39294
1400000US17031801607,"Census Tract 8016.07, Cook County, Illinois",566100,25100
1400000US17031801608,"Census Tract 8016.08, Cook County, Illinois",494300,24442
1400000US17031801701,"Census Tract 8017.01, Cook County, Illinois",641900,23009
1400000US17031801702,"Census Tract 8017.02, Cook County, Illinois",491000,37697
1400000US17031801800,"Census Tract 8018, Cook County, Illinois",625800,111868
1400000US17031801901,"Census Tract 8019.01, Cook County, Illinois",410000,33237
1400000US17031801902,"Census Tract 8019.02, Cook County, Illinois",746500,87403
1400000US17031802002,"Census Tract 8020.02, Cook County, Illinois",475800,29075
1400000US17031802003,"Census Tract 8020.03, Cook County, Illinois",431900,28305
1400000US17031802004,"Census Tract 8020.04, Cook County, Illinois",155700,11597
1400000US17031802100,"Census Tract 8021, Cook County, Illinois",596200,48919
1400000US17031802200,"Census Tract 8022, Cook County, Illinois",554500,67510
1400000US17031802300,"Census Tract 8023, Cook County, Illinois",751900,77505
1400000US17031802402,"Census Tract 8024.02, Cook County, Illinois",272700,28044
1400000US17031802403,"Census Tract 8024.03, Cook County, Illinois",174100,9615
1400000US17031802404,"Census Tract 8024.04, Cook County, Illinois",129000,24719
1400000US17031802503,"Census Tract 8025.03, Cook County, Illinois",183800,16324
1400000US17031802504,"Census Tract 8025.04, Cook County, Illinois",211400,15751
1400000US17031802505,"Census Tract 8025.05, Cook County, Illinois",181500,17315
1400000US17031802506,"Census Tract 8025.06, Cook County, Illinois",226100,13839
1400000US17031802605,"Census Tract 8026.05, Cook County, Illinois",317800,15619
1400000US17031802607,"Census Tract 8026.07, Cook County, Illinois",389400,26078
1400000US17031802608,"Census Tract 8026.08, Cook County, Illinois",232700,12674
1400000US17031802609,"Census Tract 8026.09, Cook County, Illinois",104300,10609
1400000US17031802610,"Census Tract 8026.10, Cook County, Illinois",323600,9666
1400000US17031802701,"Census Tract 8027.01, Cook County, Illinois",355200,15216
1400000US17031802702,"Census Tract 8027.02, Cook County, Illinois",345200,22805
1400000US17031802801,"Census Tract 8028.01, Cook County, Illinois",347100,14040
1400000US17031802802,"Census Tract 8028.02, Cook County, Illinois",284900,16693
1400000US17031802900,"Census Tract 8029, Cook County, Illinois",440800,43902
1400000US17031803005,"Census Tract 8030.05, Cook County, Illinois",342900,24970
1400000US17031803007,"Census Tract 8030.07, Cook County, Illinois",329100,17851
1400000US17031803008,"Census Tract 8030.08, Cook County, Illinois",417700,14925
1400000US17031803010,"Census Tract 8030.10, Cook County, Illinois",295700,20268
1400000US17031803012,"Census Tract 8030.12, Cook County, Illinois",280100,41678
1400000US17031803013,"Census Tract 8030.13, Cook County, Illinois",237500,17754
1400000US17031803014,"Census Tract 8030.14, Cook County, Illinois",253400,38590
1400000US17031803015,"Census Tract 8030.15, Cook County, Illinois",331900,33629
1400000US17031803016,"Census Tract 8030.16, Cook County, Illinois",391900,21608
1400000US17031803017,"Census Tract 8030.17, Cook County, Illinois",352100,17720
1400000US17031803100,"Census Tract 8031, Cook County, Illinois",368200,24999
1400000US17031803200,"Census Tract 8032, Cook County, Illinois",313200,25354
1400000US17031803300,"Census Tract 8033, Cook County, Illinois",311800,37746
1400000US17031803400,"Census Tract 8034, Cook County, Illinois",399700,33659
1400000US17031803500,"Census Tract 8035, Cook County, Illinois",381700,29079
1400000US17031803603,"Census Tract 8036.03, Cook County, Illinois",504500,38919
1400000US17031803604,"Census Tract 8036.04, Cook County, Illinois",293800,15394
1400000US17031803605,"Census Tract 8036.05, Cook County, Illinois",327900,19847
1400000US17031803606,"Census Tract 8036.06, Cook County, Illinois",103700,17624
1400000US17031803607,"Census Tract 8036.07, Cook County, Illinois",281900,5647
1400000US17031803608,"Census Tract 8036.08, Cook County, Illinois",489100,51487
1400000US17031803610,"Census Tract 8036.10, Cook County, Illinois",291200,36223
1400000US17031803611,"Census Tract 8036.11, Cook County, Illinois",140800,3384
1400000US17031803612,"Census Tract 8036.12, Cook County, Illinois",242700,47019
1400000US17031803701,"Census Tract 8037.01, Cook County, Illinois",232500,27285
1400000US17031803702,"Census Tract 8037.02, Cook County, Illinois",296100,14517
1400000US17031803800,"Census Tract 8038, Cook County, Illinois",269100,10665
1400000US17031803901,"Census Tract 8039.01, Cook County, Illinois",181400,17191
1400000US17031803902,"Census Tract 8039.02, Cook County, Illinois",232800,12036
1400000US17031804000,"Census Tract 8040, Cook County, Illinois",216200,9445
1400000US17031804102,"Census Tract 8041.02, Cook County, Illinois",466500,16482
1400000US17031804104,"Census Tract 8041.04, Cook County, Illinois",306700,17769
1400000US17031804105,"Census Tract 8041.05, Cook County, Illinois",361100,8783
1400000US17031804106,"Census Tract 8041.06, Cook County, Illinois",335500,25863
