GEO_ID,NAME,S1501_C02_015E,DP03_0009PE,S1701_C03_001E
id,Geographic Area Name,talent index,Unemployment,poverty
1400000US17031080201,"Census Tract 802.01, Cook County, Illinois",79.5,4.9,1.2
1400000US17031080202,"Census Tract 802.02, Cook County, Illinois",88.8,4,9.5
1400000US17031080300,"Census Tract 803, Cook County, Illinois",88.4,2.3,5.2
1400000US17031080400,"Census Tract 804, Cook County, Illinois",50,9.9,23
1400000US17031081000,"Census Tract 810, Cook County, Illinois",63,2.6,19.9
1400000US17031081100,"Census Tract 811, Cook County, Illinois",73.3,2.9,16.2
1400000US17031081201,"Census Tract 812.01, Cook County, Illinois",84,3.4,6.7
1400000US17031081202,"Census Tract 812.02, Cook County, Illinois",78.3,2.7,4.2
1400000US17031081300,"Census Tract 813, Cook County, Illinois",81.4,5.2,12.3
1400000US17031081401,"Census Tract 814.01, Cook County, Illinois",73.5,2.8,12.3
1400000US17031081402,"Census Tract 814.02, Cook County, Illinois",85.6,2.7,11.1
1400000US17031081403,"Census Tract 814.03, Cook County, Illinois",87.4,1,10.8
1400000US17031081500,"Census Tract 815, Cook County, Illinois",87.4,1.6,9.7
1400000US17031081600,"Census Tract 816, Cook County, Illinois",85.3,3.5,8
1400000US17031081700,"Census Tract 817, Cook County, Illinois",88.2,4.6,7.2
1400000US17031081800,"Census Tract 818, Cook County, Illinois",88.6,2.7,2.6
1400000US17031081900,"Census Tract 819, Cook County, Illinois",63.6,1.9,22.6
1400000US17031090100,"Census Tract 901, Cook County, Illinois",44.8,2.8,3.9
1400000US17031090200,"Census Tract 902, Cook County, Illinois",51.8,1.9,2.1
1400000US17031090300,"Census Tract 903, Cook County, Illinois",52.3,0.5,3.4
1400000US17031100100,"Census Tract 1001, Cook County, Illinois",36.7,9.3,7.2
1400000US17031100200,"Census Tract 1002, Cook County, Illinois",35,3.2,9.6
1400000US17031100300,"Census Tract 1003, Cook County, Illinois",42.9,2.3,4
1400000US17031100400,"Census Tract 1004, Cook County, Illinois",43.3,5.2,5.3
1400000US17031100500,"Census Tract 1005, Cook County, Illinois",39.8,0.7,5.9
1400000US17031100600,"Census Tract 1006, Cook County, Illinois",37.6,3,5.2
1400000US17031100700,"Census Tract 1007, Cook County, Illinois",39.5,4.3,4
1400000US17031110100,"Census Tract 1101, Cook County, Illinois",39.9,5.2,12.1
1400000US17031110200,"Census Tract 1102, Cook County, Illinois",29.8,7,9
1400000US17031110300,"Census Tract 1103, Cook County, Illinois",30.4,3.9,13.2
1400000US17031110400,"Census Tract 1104, Cook County, Illinois",40.5,5,8.2
1400000US17031110501,"Census Tract 1105.01, Cook County, Illinois",40.1,5,5.2
1400000US17031110502,"Census Tract 1105.02, Cook County, Illinois",36.4,2.7,9.6
1400000US17031120100,"Census Tract 1201, Cook County, Illinois",60.9,2.6,2.5
1400000US17031120200,"Census Tract 1202, Cook County, Illinois",58.2,5.2,5.8
1400000US17031120300,"Census Tract 1203, Cook County, Illinois",64.8,3.6,4.2
1400000US17031120400,"Census Tract 1204, Cook County, Illinois",38.1,4.6,6.4
1400000US17031130100,"Census Tract 1301, Cook County, Illinois",48.5,3.5,13.1
1400000US17031130200,"Census Tract 1302, Cook County, Illinois",56.7,5.6,5.2
1400000US17031130300,"Census Tract 1303, Cook County, Illinois",40.8,10.8,19.5
1400000US17031140100,"Census Tract 1401, Cook County, Illinois",35.6,8.1,30.1
1400000US17031140200,"Census Tract 1402, Cook County, Illinois",30.3,2.8,26.2
1400000US17031140301,"Census Tract 1403.01, Cook County, Illinois",31.1,7,24.8
1400000US17031140302,"Census Tract 1403.02, Cook County, Illinois",37.3,7.6,12.9
1400000US17031140400,"Census Tract 1404, Cook County, Illinois",39.5,4.4,6.2
1400000US17031140500,"Census Tract 1405, Cook County, Illinois",31.9,8.7,12.8
1400000US17031140601,"Census Tract 1406.01, Cook County, Illinois",20.4,7,13.4
1400000US17031140602,"Census Tract 1406.02, Cook County, Illinois",29.5,8,24.4
1400000US17031140701,"Census Tract 1407.01, Cook County, Illinois",34.4,4.6,13.5
1400000US17031140702,"Census Tract 1407.02, Cook County, Illinois",30.7,7,19.8
1400000US17031140800,"Census Tract 1408, Cook County, Illinois",51.4,1.8,14.8
1400000US17031150200,"Census Tract 1502, Cook County, Illinois",39.5,8.5,13
1400000US17031150300,"Census Tract 1503, Cook County, Illinois",41,3.9,8.1
1400000US17031150401,"Census Tract 1504.01, Cook County, Illinois",32.4,6,9.3
1400000US17031150402,"Census Tract 1504.02, Cook County, Illinois",30.8,4.5,4.7
1400000US17031150501,"Census Tract 1505.01, Cook County, Illinois",29.6,8.6,6.5
1400000US17031150502,"Census Tract 1505.02, Cook County, Illinois",31.1,6.9,16.7
1400000US17031150600,"Census Tract 1506, Cook County, Illinois",24,3.6,10
1400000US17031150700,"Census Tract 1507, Cook County, Illinois",28,0.9,17.9
1400000US17031150800,"Census Tract 1508, Cook County, Illinois",26.6,9.6,5
1400000US17031151001,"Census Tract 1510.01, Cook County, Illinois",22.6,6.3,17.3
1400000US17031151002,"Census Tract 1510.02, Cook County, Illinois",19.4,7.4,10.1
1400000US17031151100,"Census Tract 1511, Cook County, Illinois",22.2,5.3,17.6
1400000US17031151200,"Census Tract 1512, Cook County, Illinois",23.7,6.1,9.7
1400000US17031160100,"Census Tract 1601, Cook County, Illinois",42.1,7.6,9.4
1400000US17031160200,"Census Tract 1602, Cook County, Illinois",49.7,2.8,6.9
1400000US17031160300,"Census Tract 1603, Cook County, Illinois",47.2,4.8,12.1
1400000US17031160400,"Census Tract 1604, Cook County, Illinois",40.1,3.2,14.8
1400000US17031160501,"Census Tract 1605.01, Cook County, Illinois",35,3.7,14.1
1400000US17031160502,"Census Tract 1605.02, Cook County, Illinois",28.1,7,11.7
1400000US17031160601,"Census Tract 1606.01, Cook County, Illinois",48.8,3.2,10
1400000US17031160602,"Census Tract 1606.02, Cook County, Illinois",42.8,1.6,5.9
1400000US17031160700,"Census Tract 1607, Cook County, Illinois",40.5,4.9,14.6
1400000US17031160800,"Census Tract 1608, Cook County, Illinois",31.5,5,7.5
1400000US17031160900,"Census Tract 1609, Cook County, Illinois",52.6,4.1,9.4
1400000US17031161000,"Census Tract 1610, Cook County, Illinois",55.2,3.2,6.4
1400000US17031161100,"Census Tract 1611, Cook County, Illinois",63.8,2.2,2.1
1400000US17031161200,"Census Tract 1612, Cook County, Illinois",28.4,3.3,11.8
1400000US17031161300,"Census Tract 1613, Cook County, Illinois",23.8,5.8,8.1
1400000US17031170100,"Census Tract 1701, Cook County, Illinois",25.9,8.5,10.3
1400000US17031170200,"Census Tract 1702, Cook County, Illinois",26.7,2.6,8.1
1400000US17031170300,"Census Tract 1703, Cook County, Illinois",32.3,2,8.4
1400000US17031170400,"Census Tract 1704, Cook County, Illinois",27,3.3,11.9
1400000US17031170500,"Census Tract 1705, Cook County, Illinois",27.9,3.4,5.9
1400000US17031170600,"Census Tract 1706, Cook County, Illinois",21.7,5,4.8
1400000US17031170700,"Census Tract 1707, Cook County, Illinois",30.3,6.3,8.4
1400000US17031170800,"Census Tract 1708, Cook County, Illinois",22.1,4,6.4
1400000US17031170900,"Census Tract 1709, Cook County, Illinois",23.6,4.5,6.7
1400000US17031171000,"Census Tract 1710, Cook County, Illinois",23.7,6.6,8.7
1400000US17031171100,"Census Tract 1711, Cook County, Illinois",31,3.3,9.5
1400000US17031180100,"Census Tract 1801, Cook County, Illinois",18.2,5,18.5
1400000US17031190100,"Census Tract 1901, Cook County, Illinois",13.7,3.8,22.9
1400000US17031190200,"Census Tract 1902, Cook County, Illinois",16.9,5.2,11.9
1400000US17031190300,"Census Tract 1903, Cook County, Illinois",16,5.6,16.7
1400000US17031190401,"Census Tract 1904.01, Cook County, Illinois",21.6,8.9,18.4
1400000US17031190402,"Census Tract 1904.02, Cook County, Illinois",16.1,6,7.3
1400000US17031190601,"Census Tract 1906.01, Cook County, Illinois",12.4,8.7,16
1400000US17031190602,"Census Tract 1906.02, Cook County, Illinois",13.8,8.5,11.1
1400000US17031190701,"Census Tract 1907.01, Cook County, Illinois",10,10.6,23.5
1400000US17031190702,"Census Tract 1907.02, Cook County, Illinois",10,8.9,30.3
1400000US17031190800,"Census Tract 1908, Cook County, Illinois",13.7,13.1,19
1400000US17031190900,"Census Tract 1909, Cook County, Illinois",9.3,3.9,20.6
1400000US17031191000,"Census Tract 1910, Cook County, Illinois",9.9,8.5,26
1400000US17031191100,"Census Tract 1911, Cook County, Illinois",9.5,4.4,16.9
1400000US17031191200,"Census Tract 1912, Cook County, Illinois",5.8,5.1,22.7
1400000US17031191301,"Census Tract 1913.01, Cook County, Illinois",11.8,3.5,18.4
1400000US17031191302,"Census Tract 1913.02, Cook County, Illinois",8.5,9.7,14.2
1400000US17031200100,"Census Tract 2001, Cook County, Illinois",24.7,4.9,7.9
1400000US17031200200,"Census Tract 2002, Cook County, Illinois",12.6,5.4,21.4
1400000US17031200300,"Census Tract 2003, Cook County, Illinois",10.7,7.4,32.6
1400000US17031200401,"Census Tract 2004.01, Cook County, Illinois",11.5,9.6,18.5
1400000US17031200402,"Census Tract 2004.02, Cook County, Illinois",19,5.1,19.3
1400000US17031210100,"Census Tract 2101, Cook County, Illinois",51.8,4,13.6
1400000US17031210400,"Census Tract 2104, Cook County, Illinois",20.1,6.5,23.6
1400000US17031210501,"Census Tract 2105.01, Cook County, Illinois",26,8.8,21.7
1400000US17031210502,"Census Tract 2105.02, Cook County, Illinois",26.5,4.6,30.2
1400000US17031210601,"Census Tract 2106.01, Cook County, Illinois",37,6,12.4
1400000US17031210602,"Census Tract 2106.02, Cook County, Illinois",35.9,3.3,15.1
1400000US17031210700,"Census Tract 2107, Cook County, Illinois",38.4,6.2,22.8
1400000US17031210800,"Census Tract 2108, Cook County, Illinois",45,2.1,5.5
1400000US17031210900,"Census Tract 2109, Cook County, Illinois",53.6,0.9,16
1400000US17031220300,"Census Tract 2203, Cook County, Illinois",64.2,4.5,10.7
1400000US17031220400,"Census Tract 2204, Cook County, Illinois",62.1,3.8,6
1400000US17031220500,"Census Tract 2205, Cook County, Illinois",71,1.4,8.5
1400000US17031220601,"Census Tract 2206.01, Cook County, Illinois",53.3,2.7,12.3
1400000US17031220602,"Census Tract 2206.02, Cook County, Illinois",49.3,6.5,17.1
1400000US17031220701,"Census Tract 2207.01, Cook County, Illinois",37.4,4.9,13.5
1400000US17031220702,"Census Tract 2207.02, Cook County, Illinois",35.2,4.5,13.8
1400000US17031220901,"Census Tract 2209.01, Cook County, Illinois",25.7,7.5,27.2
1400000US17031220902,"Census Tract 2209.02, Cook County, Illinois",23.5,4.3,13.7
1400000US17031221000,"Census Tract 2210, Cook County, Illinois",39.2,8.9,25.6
1400000US17031221100,"Census Tract 2211, Cook County, Illinois",43.5,6.1,20.4
1400000US17031221200,"Census Tract 2212, Cook County, Illinois",63.5,4.6,9.9
1400000US17031221300,"Census Tract 2213, Cook County, Illinois",52,4.8,22
1400000US17031221400,"Census Tract 2214, Cook County, Illinois",56.8,2.1,7
1400000US17031221500,"Census Tract 2215, Cook County, Illinois",53.5,4.1,10
1400000US17031221600,"Census Tract 2216, Cook County, Illinois",79.7,1,5.6
1400000US17031222200,"Census Tract 2222, Cook County, Illinois",82.7,5.5,6.1
1400000US17031222500,"Census Tract 2225, Cook County, Illinois",46,7.2,22.6
1400000US17031222600,"Census Tract 2226, Cook County, Illinois",56.6,4.8,7.2
1400000US17031222700,"Census Tract 2227, Cook County, Illinois",38,2.7,19.8
1400000US17031222800,"Census Tract 2228, Cook County, Illinois",34.2,4.6,23.8
1400000US17031222900,"Census Tract 2229, Cook County, Illinois",16.4,3.9,11.8
1400000US17031230100,"Census Tract 2301, Cook County, Illinois",39.6,4.9,25.3
1400000US17031230200,"Census Tract 2302, Cook County, Illinois",18.5,9.5,20.7
1400000US17031230300,"Census Tract 2303, Cook County, Illinois",13.8,11.5,19.3
1400000US17031230400,"Census Tract 2304, Cook County, Illinois",19.8,14.9,21.1
1400000US17031230500,"Census Tract 2305, Cook County, Illinois",11.1,10.1,34.5
1400000US17031230600,"Census Tract 2306, Cook County, Illinois",12.5,17.8,25.8
1400000US17031230700,"Census Tract 2307, Cook County, Illinois",12.2,5.5,20.5
1400000US17031230800,"Census Tract 2308, Cook County, Illinois",12.4,11.5,22.2
1400000US17031230900,"Census Tract 2309, Cook County, Illinois",30,6.3,33.1
1400000US17031231100,"Census Tract 2311, Cook County, Illinois",15.3,21.2,29.4
1400000US17031231200,"Census Tract 2312, Cook County, Illinois",13.4,10.9,31
1400000US17031231500,"Census Tract 2315, Cook County, Illinois",11,20.2,37.5
1400000US17031240200,"Census Tract 2402, Cook County, Illinois",74.2,3.6,6.9
1400000US17031240300,"Census Tract 2403, Cook County, Illinois",85,1.8,4.6
1400000US17031240500,"Census Tract 2405, Cook County, Illinois",94,1.4,2.7
1400000US17031240600,"Census Tract 2406, Cook County, Illinois",68.1,3.4,8.2
1400000US17031240700,"Census Tract 2407, Cook County, Illinois",52.9,5,23.2
1400000US17031240800,"Census Tract 2408, Cook County, Illinois",44.8,8.6,22.1
1400000US17031240900,"Census Tract 2409, Cook County, Illinois",34.9,4.9,28.9
1400000US17031241000,"Census Tract 2410, Cook County, Illinois",46.5,4.7,28.5
1400000US17031241100,"Census Tract 2411, Cook County, Illinois",61.9,5.8,23.4
1400000US17031241200,"Census Tract 2412, Cook County, Illinois",68.1,1.1,7.3
1400000US17031241300,"Census Tract 2413, Cook County, Illinois",75.1,3.9,14.7
1400000US17031241400,"Census Tract 2414, Cook County, Illinois",76.3,1.4,10.5
1400000US17031241500,"Census Tract 2415, Cook County, Illinois",81.4,2.3,12.9
1400000US17031241600,"Census Tract 2416, Cook County, Illinois",71.8,3,11.5
1400000US17031242000,"Census Tract 2420, Cook County, Illinois",66.9,3.3,17.5
1400000US17031242100,"Census Tract 2421, Cook County, Illinois",79.7,3.4,8.1
1400000US17031242200,"Census Tract 2422, Cook County, Illinois",81.7,2,6.1
1400000US17031242300,"Census Tract 2423, Cook County, Illinois",76.8,1,5.5
1400000US17031242400,"Census Tract 2424, Cook County, Illinois",68.9,3.3,10.8
1400000US17031242500,"Census Tract 2425, Cook County, Illinois",58,4.1,14.3
1400000US17031242600,"Census Tract 2426, Cook County, Illinois",58.6,3,17.3
1400000US17031242700,"Census Tract 2427, Cook County, Illinois",38,9,20.6
1400000US17031242800,"Census Tract 2428, Cook County, Illinois",57.8,5.5,5.6
1400000US17031242900,"Census Tract 2429, Cook County, Illinois",72.5,0.5,3.4
1400000US17031243000,"Census Tract 2430, Cook County, Illinois",49,5.2,7.1
1400000US17031243100,"Census Tract 2431, Cook County, Illinois",70.6,2.5,7.2
1400000US17031243200,"Census Tract 2432, Cook County, Illinois",73.4,4.2,11.2
1400000US17031243300,"Census Tract 2433, Cook County, Illinois",70.7,2.1,11.6
1400000US17031243400,"Census Tract 2434, Cook County, Illinois",62.6,3,14.5
1400000US17031243500,"Census Tract 2435, Cook County, Illinois",77.2,8.3,7.8
1400000US17031250200,"Census Tract 2502, Cook County, Illinois",13.4,14.5,15.8
1400000US17031250300,"Census Tract 2503, Cook County, Illinois",20.9,9.7,32.8
1400000US17031250400,"Census Tract 2504, Cook County, Illinois",13.9,16.6,26.1
1400000US17031250500,"Census Tract 2505, Cook County, Illinois",39.6,9.4,11.6
1400000US17031250600,"Census Tract 2506, Cook County, Illinois",16.5,11.2,15.3
1400000US17031250700,"Census Tract 2507, Cook County, Illinois",11.9,10.5,17.7
1400000US17031250800,"Census Tract 2508, Cook County, Illinois",8.9,14,33.2
1400000US17031251000,"Census Tract 2510, Cook County, Illinois",7.7,17.8,19.1
1400000US17031251100,"Census Tract 2511, Cook County, Illinois",6.1,12,41.6
1400000US17031251200,"Census Tract 2512, Cook County, Illinois",9.7,16.9,23.9
1400000US17031251300,"Census Tract 2513, Cook County, Illinois",9.3,19,23.4
1400000US17031251400,"Census Tract 2514, Cook County, Illinois",17.1,8.1,21.9
1400000US17031251500,"Census Tract 2515, Cook County, Illinois",11.1,23.7,45.4
1400000US17031251600,"Census Tract 2516, Cook County, Illinois",13.1,6,32.6
1400000US17031251700,"Census Tract 2517, Cook County, Illinois",14.3,12.7,19.3
1400000US17031251800,"Census Tract 2518, Cook County, Illinois",6.2,18,35.8
1400000US17031251900,"Census Tract 2519, Cook County, Illinois",8.4,20.2,48.5
1400000US17031252000,"Census Tract 2520, Cook County, Illinois",9.6,8.8,33.5
1400000US17031252101,"Census Tract 2521.01, Cook County, Illinois",17.9,6.9,34.3
1400000US17031252102,"Census Tract 2521.02, Cook County, Illinois",9.1,14.5,32.5
1400000US17031252201,"Census Tract 2522.01, Cook County, Illinois",12.3,17.6,30.8
1400000US17031252202,"Census Tract 2522.02, Cook County, Illinois",9.4,23.8,38.9
1400000US17031260100,"Census Tract 2601, Cook County, Illinois",6.8,17.6,50.8
1400000US17031260200,"Census Tract 2602, Cook County, Illinois",6,15.7,31.1
1400000US17031260300,"Census Tract 2603, Cook County, Illinois",6.9,21.4,37.4
1400000US17031260400,"Census Tract 2604, Cook County, Illinois",4,24.4,31.2
